,지역명,지역번호
4,광양읍,2332378
5,구례군,224297
6,나주시,224256
7,남교동,3361723
8,남정동,1956338
9,담양군,224270
10,대성동,1912818
11,대안동,3361725
12,덕암동,3361840
13,덕연동,3430574
14,덕충동,2331043
15,동명동,1912854
16,동외동,3361843
17,매곡동,1956342
18,명륜동,3361727
19,목성리,3362179
20,목포시,224257
21,무안군,224344
22,보성군,224269
23,산정동,1317743
24,산포면,2331015
25,삼산동,3430569
26,삼천리,3362821
27,삼향읍,2330927
28,삼호읍,1317564
29,상동,2331061
30,상락동1가,33617303
31,상락동2가,33617313
32,상삼리,3361861
33,생목동,1317911
34,서교동,3361775
35,서남리,3363406
36,서면,2331036
37,석현동,1315492
38,석현동,3361767
39,선원동,1319185
40,선평리,3361882
41,성내리,3363242
42,세풍리,3362188
43,수성리,3363243
44,순천시,224258
45,신안군,2330431
46,신흥동,1317340
47,쌍봉동,3430590
48,양동,3361721
49,여서동,1607072
50,여수시,224259
51,연등동,3361774
52,연산동,2331067
53,연지리,3363037
54,연향동,2331031
55,영광군,224338
56,영광읍,2332365
57,영동,3361837
58,영암군,224273
59,영암읍,2332368
60,영천리,3363851
61,영해동1가,33617363
62,영해동2가,33617373
63,옥암동,2331059
64,완도군,224271
65,완도읍,2332364
66,왕조1동,34305713
67,용강리,3362184
68,용당1동,34305853
69,용당동,224347
70,용당동,1318652
71,용해동,2331062
72,우산리,3362175
73,원산동,1315498
74,월내동,1315643
75,월하동,1315476
76,율촌면,2331057
77,인제동,3361841
78,장성군,2330430
79,장천동,2331028
80,장흥군,224264
81,저전동,2331029
82,조곡동,1321549
83,조례동,1321311
84,죽교동,1316829
85,죽동,3361728
86,중동,2331001
87,중마동,3430576
88,중흥동,1603526
89,진도군,224260
90,칠성리,3362177
91,풍덕동,2331030
92,학동,1321034
93,함평군,224261
94,해남군,224266
95,해룡면,2331037
96,호남동,3361724
97,화순군,224341
98,화순읍,2332372
99,화치동,1320657
0,경원동1가,33601683
1,경원동2가,33601693
2,경원동3가,33601703
3,경장동,3360214
4,고사동,3360179
5,고창군,223089
6,교동,3360180
7,군산시,223083
8,금암동,2036960
9,김제시,223079
10,나운2동,23311723
11,나운3동,23311703
12,나운동,2331173
13,남노송동,2036950
14,남원시,223081
15,남중동,1319012
16,다가동1가,33601753
17,다가동2가,33601763
18,다가동3가,33601773
19,덕진구,223077
20,덕진동1가,20370333
21,덕진동2가,13210073
22,동산동,2331166
23,동서학동,2036962
24,동완산동,2036963
25,마동,2037061
26,모현동,3430327
27,모현동1가,23311653
28,문화동,1789014
29,봉동읍,223091
30,부송동,2037052
31,부안군,223086
32,산북동,2331171
33,삼례읍,223111
34,삼성동,3430315
35,삼천동1가,20369643
36,삼학동,2331176
37,상동,3360418
38,서노송동,2036966
39,서서학동,2036947
40,서신동,2037156
41,서완산동1가,20369673
42,서완산동2가,33601813
43,서흥남동,3360213
44,소룡동,2036789
45,송천1동,34303683
46,송천2동,34303583
47,송천동1가,20369683
48,송학동,1317017
49,수성동,2331148
50,수송동,1316711
51,순창군,223112
52,시기동,2331146
53,신동,1317310
54,신흥동,3360302
55,어양동,2331161
56,여의동,223076
57,연지동,1315046
58,영등1동,34303283
59,영등동,2331164
60,오산면,1318763
